ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	14m	seed4	8000	Pile_5gram	0.713344368910215	0.7035939636766918
pythia	14m	seed4	8000	Pile_4gram	0.7601919044300959	0.7640859173943312
pythia	14m	seed4	8000	Pile_3gram	0.8209132491949587	0.8288237068933741
pythia	14m	seed4	8000	Pile_2gram	0.8394236766236657	0.8456885667752996
pythia	14m	seed4	8000	Pile_1gram	0.7299685429003776	0.7349258097243959
pythia	14m	seed4	8000	wcd_cc	0.6195601638425329	0.6364899663469359
pythia	14m	seed4	8000	ucd_cc	0.6109101793881234	0.6288803569575864
pythia	14m	seed4	8000	wcd_wiki	0.47993319504726306	0.4784545435213406
pythia	14m	seed4	8000	ucd_wiki	0.4458965383015431	0.4431746945706677
pythia	14m	seed4	8000	OpenWebText_5gram	0.740236269547907	0.7348897110478331
pythia	14m	seed4	8000	OpenWebText_4gram	0.7648035529695301	0.7675223552991102
pythia	14m	seed4	8000	OpenWebText_3gram	0.8093996151028172	0.8204150674786035
pythia	14m	seed4	8000	OpenWebText_2gram	0.8284538620112222	0.8377613452791013
pythia	14m	seed4	8000	OpenWebText_1gram	0.7222054843799695	0.7285887296123851
pythia	160m	seed4	4000	Pile_5gram	0.7602692184001205	0.7585336366308097
pythia	160m	seed4	4000	Pile_4gram	0.7958523386919506	0.8050409820838862
pythia	160m	seed4	4000	Pile_3gram	0.8167211618985739	0.8243306065533684
pythia	160m	seed4	4000	Pile_2gram	0.768161127435939	0.7740519426418805
pythia	160m	seed4	4000	Pile_1gram	0.6131461074651332	0.6201466009310319
pythia	160m	seed4	4000	wcd_cc	0.5508194403929477	0.5676867071536544
pythia	160m	seed4	4000	ucd_cc	0.5397811311440566	0.5573431388630269
pythia	160m	seed4	4000	wcd_wiki	0.4622689813756841	0.46188357687341675
pythia	160m	seed4	4000	ucd_wiki	0.43631907715551144	0.4322548997049163
pythia	160m	seed4	4000	OpenWebText_5gram	0.7696094534254294	0.7715021939873892
pythia	160m	seed4	4000	OpenWebText_4gram	0.7880414620130463	0.7969405086552026
pythia	160m	seed4	4000	OpenWebText_3gram	0.8043258712379279	0.8155484912525719
pythia	160m	seed4	4000	OpenWebText_2gram	0.7625925785614192	0.7699896892901653
pythia	160m	seed4	4000	OpenWebText_1gram	0.6091835200344431	0.6164336356864307
pythia	14m	seed9	128	Pile_5gram	0.3880092447685502	0.40944305842323936
pythia	14m	seed9	128	Pile_4gram	0.42334053019060286	0.45656517410896325
pythia	14m	seed9	128	Pile_3gram	0.49263520058927485	0.5294424109091086
pythia	14m	seed9	128	Pile_2gram	0.5892452058042046	0.6270940354530173
pythia	14m	seed9	128	Pile_1gram	0.7107975460559518	0.7632075255117663
pythia	14m	seed9	128	wcd_cc	0.5422684248117094	0.5157541607054471
pythia	14m	seed9	128	ucd_cc	0.5563270670646201	0.5315465242577794
pythia	14m	seed9	128	wcd_wiki	0.37748880289510856	0.29154305502180494
pythia	14m	seed9	128	ucd_wiki	0.35548508809169	0.2829190077274095
pythia	14m	seed9	128	OpenWebText_5gram	0.42024360193814014	0.4448314828726124
pythia	14m	seed9	128	OpenWebText_4gram	0.4370008742380663	0.4698424371818576
pythia	14m	seed9	128	OpenWebText_3gram	0.48750328848180824	0.5279748561032888
pythia	14m	seed9	128	OpenWebText_2gram	0.5809287510798501	0.6228083128823636
pythia	14m	seed9	128	OpenWebText_1gram	0.6983423241548384	0.747933175928288
pythia	31m	seed3	1	Pile_5gram	0.044812797762369155	0.04994725542228484
pythia	31m	seed3	1	Pile_4gram	0.045687655081116024	0.05110125021661464
pythia	31m	seed3	1	Pile_3gram	0.04835472133544478	0.04953063713944567
pythia	31m	seed3	1	Pile_2gram	0.04798136371173168	0.044765529110057885
pythia	31m	seed3	1	Pile_1gram	0.03525702529251834	0.042528412793256934
pythia	31m	seed3	1	wcd_cc	0.029049534063672486	0.02930634380605612
pythia	31m	seed3	1	ucd_cc	0.02432021266051524	0.024476029599065384
pythia	31m	seed3	1	wcd_wiki	0.025466001674541786	0.026330410473017082
pythia	31m	seed3	1	ucd_wiki	0.016743538696509554	0.017406564693500385
pythia	31m	seed3	1	OpenWebText_5gram	0.04444616957102629	0.047683672054430574
pythia	31m	seed3	1	OpenWebText_4gram	0.043561065949343815	0.048228579552127566
pythia	31m	seed3	1	OpenWebText_3gram	0.04520145273775362	0.04763980052395488
pythia	31m	seed3	1	OpenWebText_2gram	0.04358307294300473	0.04143812470680253
pythia	31m	seed3	1	OpenWebText_1gram	0.030097340138796544	0.035625082230337606
pythia	70m	seed9	4000	Pile_5gram	0.7550600602072978	0.7487155407450177
pythia	70m	seed9	4000	Pile_4gram	0.7964146237583467	0.8024555378506313
pythia	70m	seed9	4000	Pile_3gram	0.8348875002482467	0.8421455089337657
pythia	70m	seed9	4000	Pile_2gram	0.81326153173412	0.8203404548622923
