RegressionType	ModelFamily	ModelSize	ModelSeed	ModelStep	Rsquared	Rsquared_val
UnmatchedNgram_UCDCC	pythia	14m	seed4	8000	0.6858653699827244	0.685642561765441
UnmatchedNgram_WCDCC	pythia	14m	seed4	8000	0.6868455510654186	0.68694260036784
UnmatchedNgram_UCDWiki	pythia	14m	seed4	8000	0.6947359030890714	0.6944284298405943
UnmatchedNgram_WCDWiki	pythia	14m	seed4	8000	0.6963087313928231	0.6967147040005266
MatchedNgram_UCDCC	pythia	14m	seed4	8000	0.6887028871071683	0.6894283279503639
MatchedNgram_WCDCC	pythia	14m	seed4	8000	0.6902372842397698	0.6912987540767174
MatchedNgram_UCDWiki	pythia	14m	seed4	8000	0.6961145034610043	0.697005407593983
MatchedNgram_WCDWiki	pythia	14m	seed4	8000	0.6989214218587284	0.7002569750226684
UnmatchedNgram_UCDCC	pythia	160m	seed4	4000	0.6397404686749273	0.6406183017733167
UnmatchedNgram_WCDCC	pythia	160m	seed4	4000	0.6391666464869898	0.6404073117681752
UnmatchedNgram_UCDWiki	pythia	160m	seed4	4000	0.6516159158172672	0.6523669862817609
UnmatchedNgram_WCDWiki	pythia	160m	seed4	4000	0.6485740238444	0.649856469370044
MatchedNgram_UCDCC	pythia	160m	seed4	4000	0.6461963652699256	0.646775507374576
MatchedNgram_WCDCC	pythia	160m	seed4	4000	0.6460249956852651	0.6470187641858862
MatchedNgram_UCDWiki	pythia	160m	seed4	4000	0.6561508610288749	0.656851541883961
MatchedNgram_WCDWiki	pythia	160m	seed4	4000	0.6545269808163974	0.6554734881429074
UnmatchedNgram_UCDCC	pythia	14m	seed9	128	0.49788478947041614	0.4945995944625584
UnmatchedNgram_WCDCC	pythia	14m	seed9	128	0.4977048988795787	0.4946131868464333
UnmatchedNgram_UCDWiki	pythia	14m	seed9	128	0.5040057108309561	0.5000564450557008
UnmatchedNgram_WCDWiki	pythia	14m	seed9	128	0.5097337062982108	0.5054840928805373
MatchedNgram_UCDCC	pythia	14m	seed9	128	0.5134444061288634	0.5104206823741446
MatchedNgram_WCDCC	pythia	14m	seed9	128	0.5136591301908526	0.5107756023867189
MatchedNgram_UCDWiki	pythia	14m	seed9	128	0.5187716198655703	0.515268950825071
MatchedNgram_WCDWiki	pythia	14m	seed9	128	0.5244492690751642	0.5205697383804686
UnmatchedNgram_UCDCC	pythia	31m	seed3	1	0.0020026389697779257	0.002333196250427827
UnmatchedNgram_WCDCC	pythia	31m	seed3	1	0.0020286114635628127	0.002272312739573734
UnmatchedNgram_UCDWiki	pythia	31m	seed3	1	0.0020026401292140283	0.0023323561784688307
UnmatchedNgram_WCDWiki	pythia	31m	seed3	1	0.0020516558297213328	0.0022707468300029454
MatchedNgram_UCDCC	pythia	31m	seed3	1	0.0022117970895075834	0.002560633178248617
MatchedNgram_WCDCC	pythia	31m	seed3	1	0.0021912141690475506	0.0024690692398020575
MatchedNgram_UCDWiki	pythia	31m	seed3	1	0.0021935319046466617	0.0025083348941076222
MatchedNgram_WCDWiki	pythia	31m	seed3	1	0.0022214622542696683	0.0024306487504391905
UnmatchedNgram_UCDCC	pythia	70m	seed9	4000	0.6848067754781444	0.6871134614759081
UnmatchedNgram_WCDCC	pythia	70m	seed9	4000	0.6849002908078288	0.6876423341040703
UnmatchedNgram_UCDWiki	pythia	70m	seed9	4000	0.6953513906316805	0.6969640994876112
UnmatchedNgram_WCDWiki	pythia	70m	seed9	4000	0.6935819001875609	0.6956365665639324
MatchedNgram_UCDCC	pythia	70m	seed9	4000	0.6838783059396158	0.6868702261429315
MatchedNgram_WCDCC	pythia	70m	seed9	4000	0.6845431232869192	0.6880115651460703
MatchedNgram_UCDWiki	pythia	70m	seed9	4000	0.6925932311032901	0.6951385709806728
MatchedNgram_WCDWiki	pythia	70m	seed9	4000	0.6923532851014478	0.6950162871150269
UnmatchedNgram_UCDCC	pythia	410m	seed8	16000	0.5992250491387723	0.6006199954179592
UnmatchedNgram_WCDCC	pythia	410m	seed8	16000	0.5976752377425187	0.5992640609861879
UnmatchedNgram_UCDWiki	pythia	410m	seed8	16000	0.6116789855324635	0.6133033462626651
UnmatchedNgram_WCDWiki	pythia	410m	seed8	16000	0.6064924887417416	0.6084222389913408
MatchedNgram_UCDCC	pythia	410m	seed8	16000	0.6153122155960189	0.6176060678978501
MatchedNgram_WCDCC	pythia	410m	seed8	16000	0.6140752606596833	0.6165735371820215
MatchedNgram_UCDWiki	pythia	410m	seed8	16000	0.6256173981007065	0.6282992724410672
MatchedNgram_WCDWiki	pythia	410m	seed8	16000	0.6218143222921177	0.6244903134787005
UnmatchedNgram_UCDCC	pythia	14m	seed6	32000	0.6821190675348097	0.6840123917367568
UnmatchedNgram_WCDCC	pythia	14m	seed6	32000	0.6832431071847822	0.685652795698781
UnmatchedNgram_UCDWiki	pythia	14m	seed6	32000	0.6923001090251157	0.6944261492149595
UnmatchedNgram_WCDWiki	pythia	14m	seed6	32000	0.6940044327831201	0.6966946103282874
MatchedNgram_UCDCC	pythia	14m	seed6	32000	0.6813647183519946	0.682478093671189
MatchedNgram_WCDCC	pythia	14m	seed6	32000	0.6830289571054687	0.6847219701611231
MatchedNgram_UCDWiki	pythia	14m	seed6	32000	0.6897355275655495	0.6914027288933218
MatchedNgram_WCDWiki	pythia	14m	seed6	32000	0.6927309723716482	0.6947602343798718
UnmatchedNgram_UCDCC	pythia	410m	seed1234	143000	0.5792508545805884	0.5835479274213817
UnmatchedNgram_WCDCC	pythia	410m	seed1234	143000	0.5773481585880877	0.5819147041005854
UnmatchedNgram_UCDWiki	pythia	410m	seed1234	143000	0.5917684505321876	0.5967772068607304
UnmatchedNgram_WCDWiki	pythia	410m	seed1234	143000	0.5860442477494134	0.5910902100358504
MatchedNgram_UCDCC	pythia	410m	seed1234	143000	0.6000901143587277	0.6040339825514105
MatchedNgram_WCDCC	pythia	410m	seed1234	143000	0.5984569726152338	0.6026803277413959
MatchedNgram_UCDWiki	pythia	410m	seed1234	143000	0.6102889248532335	0.6151076135944347
MatchedNgram_WCDWiki	pythia	410m	seed1234	143000	0.6059233897368916	0.6104942955482866
UnmatchedNgram_UCDCC	pythia	410m	seed1	0	0.0013562815381842341	0.0016425258467580583
UnmatchedNgram_WCDCC	pythia	410m	seed1	0	0.0009961741301877103	0.001302585016767166
UnmatchedNgram_UCDWiki	pythia	410m	seed1	0	0.0003950175691284086	0.0008699314033986383
UnmatchedNgram_WCDWiki	pythia	410m	seed1	0	0.0003849897012083714	0.000773604503050529
MatchedNgram_UCDCC	pythia	410m	seed1	0	0.0012263947948957243	0.001474674621138039
MatchedNgram_WCDCC	pythia	410m	seed1	0	0.0008939776822336487	0.0011574290708191715
MatchedNgram_UCDWiki	pythia	410m	seed1	0	0.0003084235067832841	0.0007511016494032852
MatchedNgram_WCDWiki	pythia	410m	seed1	0	0.00029564350319644106	0.0006559955626483926
UnmatchedNgram_UCDCC	pythia	70m	seed3	8	0.022521493581344365	0.019887833211179817
UnmatchedNgram_WCDCC	pythia	70m	seed3	8	0.02245731574484311	0.019693755095335552
UnmatchedNgram_UCDWiki	pythia	70m	seed3	8	0.024556115570809833	0.021759036404068954
UnmatchedNgram_WCDWiki	pythia	70m	seed3	8	0.026243397448097894	0.02321150243106962
MatchedNgram_UCDCC	pythia	70m	seed3	8	0.022986283333086277	0.020401935717528463
MatchedNgram_WCDCC	pythia	70m	seed3	8	0.022959647479949052	0.02025715526619043
